#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#id, rootname, filter_1, filter_2, propid, aperture, exptime, target_name, mtflag, subarray, mjd, date, focus, chip, psf_x_center, psf_y_center, x_raw, y_raw, x_cal, y_cal, psf_ra, psf_dec, psf_flux, flux_crude, pixc, mag, sky, qfit, n_sat_pixels, iso_index, wfpc2_data_set_name, program_id, hla_flag, previewURI, footprint
#@int, string, string, string, int, string, float, string, int, int, float, date, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, int, int, string, string, string, string, string
id,rootname,filter_1,filter_2,propid,aperture,exptime,target_name,mtflag,subarray,mjd,date,focus,chip,psf_x_center,psf_y_center,x_raw,y_raw,x_cal,y_cal,psf_ra,psf_dec,psf_flux,flux_crude,pixc,mag,sky,qfit,n_sat_pixels,iso_index,wfpc2_data_set_name,program_id,hla_flag,previewURI,footprint
20421679,ub0h5707m,F814W,,11547,PC1,260,STAR-CLUS-053605-673408,0,0,54710.80865,9/1/2008 7:24:28 PM,0.114385,1,414.6614,425.4746,413.6614,424.4746,413.6614,424.4746,83.97973036,-67.57801399,32579.8,11221.62,4390.64,-11.282,17.35,0.097,0,24,UB0H5707M,B0H,Y,mast:HST/product/ub0h5707m_drw.jpg,POLYGON 83.99910114453974 -67.57580578801097 83.98600017846856 -67.58446282157692 83.96328972739941 -67.57947810907939 83.97638753313551 -67.57082212160893 83.99910114453974 -67.57580578801097
17513679,u9pb1201m,F814W,,10832,PC1,400,MACHO-LMC-14,0,0,54235.05529,5/15/2007 1:19:37 AM,-0.775431,1,418.4156,423.8498,417.4156,422.8498,417.4156,422.8498,83.68619952,-70.41949639,56077.3,17934.99,8453.25,-11.872,23.65,0.062,0,24,U9PB1201M,9PB,Y,mast:HST/product/u9pb1201m_drw.jpg,POLYGON 83.67429448389014 -70.41294769363509 83.70316399921573 -70.41544859327006 83.69575190671999 -70.4251278730701 83.6668699817699 -70.42262920582736 83.67429448389014 -70.41294769363509
14964500,ua5y0106m,F675W,,11340,PC1-FIX,100,MESSIER-028,0,0,54625.73064,6/8/2008 5:32:07 PM,-1.70291,1,443.5578,423.9159,442.5578,422.9159,442.5578,422.9159,276.13586956,-24.87155455,34430,11082.12,6052.77,-11.342,96.2,0.096,0,18,UA5Y0106M,A5Y,Y,mast:HST/product/ua5y0106m_drw.jpg,POLYGON 276.14251580079036 -24.87546433763221 276.13187850290353 -24.878062782137437 276.1289998749284 -24.868420200857837 276.1396340424766 -24.865819342338902 276.14251580079036 -24.87546433763221
25362336,u9pl0207m,F814W,,10845,WF2,400,ANY,0,0,54224.19209,5/4/2007 4:36:37 AM,-1.59804,1,404.443,426.9929,403.443,425.9929,403.443,425.9929,266.91129176,-24.86328437,53349.7,15177.99,7885.32,-11.818,33.8,0.059,0,24,U9PL0207M,9PL,Y,mast:HST/product/u9pl0207m_drw.jpg,POLYGON 266.91998744695246 -24.863199550600203 266.9118440575682 -24.869931674647216 266.9044141320318 -24.86255497125986 266.9125542116961 -24.855821493855455 266.91998744695246 -24.863199550600203
20343528,ua0t0302m,F814W,,11193,PC1,160,NGC3603FIELD3,0,0,54450.03793,12/16/2007 12:54:37 AM,-1.31696,1,419.6018,417.8927,418.6018,416.8927,418.6018,416.8927,168.90782867,-61.25602594,43184.7,12773.56,6838.33,-11.588,22.08,0.095,0,24,UA0T0302M,A0T,Y,mast:HST/product/ua0t0302m_c0f.jpg,POLYGON 168.92341093 -61.25805069 168.9051903 -61.26310739 168.89467676 -61.25434799 168.91289958 -61.24929343 168.92341093 -61.25805069
22396121,ua0t030km,F814W,,11193,PC1,160,NGC3603FIELD3,0,0,54450.11362,12/16/2007 2:43:37 AM,0.541423,1,425.4055,428.9641,424.4055,427.9641,424.4055,427.9641,168.90870919,-61.25629453,45868.9,12836.99,6731.54,-11.654,23.56,0.081,0,24,UA0T030KM,A0T,Y,mast:HST/product/ua0t030km_drw.jpg,POLYGON 168.92367474299039 -61.25814785685332 168.9056668990322 -61.26314166686733 168.89526101407546 -61.254491740950655 168.9132603887055 -61.249496967253286 168.92367474299039 -61.25814785685332
17969137,u9ox0305m,F814W,,10803,PC1-FIX,500,SN2006MY,0,0,54217.04545,4/27/2007 1:05:27 AM,0.224831,1,416.0423,448.5335,415.0423,447.5335,415.0423,447.5335,190.92010962,16.38790043,85101.3,26435.68,13182.79,-12.325,59.5,0.092,0,24,U9OX0305M,9OX,Y,mast:HST/product/u9ox0305m_drw.jpg,POLYGON 190.91489285761318 16.393153043483863 190.92524591512262 16.392029960722223 190.92409098902422 16.38209866413357 190.91373908726894 16.3832183296654 190.91489285761318 16.393153043483863
19760465,ua2l0507m,F814W,,11233,WFALL-FIX,200,M80-WFPC2,0,0,54547.73747,3/22/2008 5:41:57 PM,-1.79566,1,400.9268,410.3473,399.9268,409.3473,399.9268,409.3473,244.27627932,-22.9798264,53194.9,15484.63,8577.36,-11.815,35.77,0.084,0,24,UA2L0507M,A2L,Y,mast:HST/product/ua2l0507m_drw.jpg,POLYGON 244.2851512197256 -22.981162898843813 244.27618652751931 -22.986801849254253 244.27004989341597 -22.97855920452958 244.2790114093726 -22.97291845265834 244.2851512197256 -22.981162898843813
14903271,ua5y0205m,F675W,,11340,PC1-FIX,100,MESSIER-028,0,0,54627.49175,6/10/2008 11:48:07 AM,-1.91521,1,422.176,405.8871,421.176,404.8871,421.176,404.8871,276.13499458,-24.87109394,69641,21513.55,14300.59,-12.107,166.46,0.1,0,8,UA5Y0205M,A5Y,Y,mast:HST/product/ua5y0205m_drw.jpg,POLYGON 276.14241692820724 -24.87532646262015 276.1317796422249 -24.877924907127348 276.1289010174355 -24.868282325845538 276.1395351730875 -24.865681467323345 276.14241692820724 -24.87532646262015
21993579,u9zv0y03m,F814W,,11130,PC1,600,SDSSJ134738.23+474301.9,0,0,54548.27937,3/23/2008 6:42:17 AM,-0.832075,1,428.6316,436.875,427.6316,435.875,427.6316,435.875,206.90991235,47.71757583,54656.8,14662.05,7979.07,-11.844,183.87,0.097,0,24,U9ZV0Y03M,9ZV,Y,mast:HST/product/u9zv0y03m_drw.jpg,POLYGON 206.9143233577233 47.72415142419718 206.9192562070201 47.71472291387351 206.90525467463635 47.71139034933479 206.9003155061655 47.720816246000176 206.9143233577233 47.72415142419718
